"study_route","gender","age_group","education_level","transport_service_type","service_type_other_specify","driving_experience_years","operation_area","work_time","daily_trips","belongs_to_union","union_name","union_other_specify","road_condition","congestion_frequency","congestion_causes","cause_poor_roads","cause_indiscipline","cause_street_trading","cause_poor_traffic_control","cause_lack_parking","terminal_availability","encounters_challenges_authorities","challenges_details","regulation_effectiveness","relationship_with_agencies","fair_law_enforcement","income_effect_congestion","improvement_suggestions","suggest_new_roads","suggest_traffic_mgmt","suggest_parking","suggest_law_enforcement","suggest_reduce_hawking","suggest_other"
"Adum- Tafo Road","Male","18–25","Secondary","Trotro (Minibus)",NA,"2–5 years","CBD","Evening","4–6",FALSE,NA,NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,1,1,1,1,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","Basic","Trotro (Minibus)",NA,"2–5 years","CBD","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,1,1,1,1,"Not available",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Fair","Always","d. Poor traffic control",0,0,0,1,0,"Fair",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","18–25","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","7–9",TRUE,"GPRTU",NA,"Very poor","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","56 and above","No formal education","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Not available",FALSE,NA,"Very ineffective","Neutral",NA,"Decreased greatly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","18–25","Secondary","Trotro (Minibus)",NA,"2–5 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Not available",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased greatly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",TRUE,"Co-operative",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Not available",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"No effect","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","36–45","Tertiary","Trotro (Minibus)",NA,"2–5 years","CBD","Throughout the day","7–9",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Not available",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Pragya/Okada",NA,"2–5 years","Inter-town routes","Throughout the day","10 or more",FALSE,NA,NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,1,1,1,1,"Inadequate",TRUE,"Sometimes they ask for money.","Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Pragya/Okada",NA,"2–5 years","Inter-town routes","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",TRUE,"Extortion","Ineffective","Cordial",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Pragya/Okada",NA,"6–10 years","Inter-town routes","Throughout the day","10 or more",FALSE,NA,NA,"Very good","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Very ineffective","Cordial",FALSE,"No effect","c. More parking/loading spaces d. Enforcement of traffic laws",0,0,1,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","7–9",TRUE,"GPRTU",NA,"Good","Sometimes","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Fair",FALSE,NA,"Neutral","Cordial",TRUE,"No effect","b. Better traffic management",0,1,0,0,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"2–5 years","All areas","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","All areas","Throughout the day","4–6",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers",1,1,0,0,0,"Inadequate",TRUE,"They are pompous, I don't like arrogant people.","Neutral","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","4–6",TRUE,"GPRTU",NA,"Fair","Always","b. Indiscipline by drivers",0,1,0,0,0,"Inadequate",FALSE,NA,"Neutral","Neutral",TRUE,"No effect","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Adum- Tafo Road","Male","36–45","Basic","Taxi",NA,"Over 10 years","All areas","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","36–45","Secondary","Pragya/Okada",NA,"6–10 years","Inter-town routes","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Sometimes","c. Street trading and hawking d. Poor traffic control",0,0,1,1,0,"Adequate",FALSE,NA,"Ineffective","Cordial",FALSE,"No effect","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","Inter-town routes","Afternoon","4–6",TRUE,"GPRTU",NA,"Good","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Very ineffective","Cordial",NA,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Very poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Very cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Good","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",NA,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","56 and above","No formal education","Trotro (Minibus)",NA,"Over 10 years","All areas","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Rarely","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Fair",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","c. More parking/loading spaces d. Enforcement of traffic laws",0,0,1,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"2–5 years","Suburbs","Throughout the day","4–6",TRUE,"GPRTU",NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Very ineffective","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","4–6",FALSE,NA,NA,"Good","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Very ineffective","Neutral",FALSE,"No effect","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Adum- Tafo Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"6–10 years","All areas","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network d. Poor traffic control",1,0,0,1,0,"Inadequate",TRUE,"Sometimes they just want money from you even if you've not committed or breached any traffic regulations.","Ineffective","Neutral",FALSE,"No effect","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","18–25","Secondary","Trotro (Minibus)",NA,"2–5 years","Suburbs","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers",0,1,0,0,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management",0,1,0,0,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Afternoon","7–9",TRUE,"Co-operative",NA,"Very poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Cordial",FALSE,"No effect","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Taxi",NA,"6–10 years","Suburbs","Afternoon","4–6",TRUE,"GPRTU",NA,"Poor","Always","c. Street trading and hawking d. Poor traffic control",0,0,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",TRUE,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","46–55","Secondary","Pragya/Okada",NA,"Over 10 years","Inter-town routes","Afternoon","4–6",FALSE,NA,NA,"Poor","Always","a. Poor road network",1,0,0,0,0,"Inadequate",FALSE,NA,"Neutral","Cordial",TRUE,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Adum- Tafo Road","Male","26–35","Tertiary","Others (specify)………………………………………...","Bolt","2–5 years","Inter-town routes","Afternoon","4–6",TRUE,"Co-operative",NA,"Good","Sometimes","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Cordial",TRUE,"No effect","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Adum- Tafo Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"Over 10 years","CBD","Throughout the day","7–9",TRUE,"GPRTU",NA,"Good","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Ejisu-Kejetia Road","Male","18–25","No formal education","Taxi",NA,"2–5 years","Suburbs","Throughout the day","4–6",FALSE,NA,NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Trotro (Minibus)",NA,"2–5 years","Suburbs","Throughout the day","7–9",TRUE,"GPRTU",NA,"Good","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Not available",TRUE,"Extortion","Neutral","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Trotro (Minibus)",NA,"2–5 years","Suburbs","Evening","4–6",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Fair",TRUE,"Bribe","Neutral","Cordial",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Ejisu-Kejetia Road","Male","56 and above","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","4–6",TRUE,"GPRTU",NA,"Good","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",1,1,1,1,0,"Fair",FALSE,NA,"Effective","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces e. Reduction of street hawking",0,1,1,0,1,0
"Ejisu-Kejetia Road","Male","46–55","Basic","Taxi",NA,"Over 10 years","Suburbs","Throughout the day","7–9",TRUE,"Co-operative",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",TRUE,"Harassment","Neutral","Tense",FALSE,"No effect","a. Construction of new roads b. Better traffic management d. Enforcement of traffic laws",1,1,0,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Evening","4–6",TRUE,"Co-operative",NA,"Poor","Sometimes","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Fair",TRUE,"Extortion","Neutral","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Evening","1–3",TRUE,"Co-operative",NA,"Poor","Sometimes","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","No formal education","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",TRUE,"Collection of high fees","Neutral","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","Suburbs","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Very poor","Often","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",TRUE,"Unnecessary arrest and collection of huge fees","Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","Suburbs","Evening","4–6",TRUE,"GPRTU",NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Pragya/Okada",NA,"6–10 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Rarely","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Neutral","Tense",NA,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",FALSE,NA,NA,"Poor","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","CBD","Morning","4–6",TRUE,"GPRTU",NA,"Fair","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Taxi",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Often","a. Poor road network d. Poor traffic control",1,0,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",NA,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Not available",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Not available",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Not available",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management d. Enforcement of traffic laws",1,1,0,1,0,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"6–10 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Not available",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management d. Enforcement of traffic laws",1,1,0,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","CBD","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","CBD","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",TRUE,"Collection of unapproved fines","Neutral","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","CBD","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","No formal education","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Always","a. Poor road network d. Poor traffic control e. Lack of parking space",1,0,0,1,1,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","No formal education","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","d. Poor traffic control e. Lack of parking space",0,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
